stats,fit,fit_clim,fore,fore_clim,change,type,roi
corr,0.6642833043385604,0.709813197935934,0.3400492247136425,0.5428958470459363,-0.3242340796249179,SH,jerbajada_SH_1000
R2,0.4412723084229562,0.5038347759640371,0.11563347522834903,0.2947359007397246,-0.3256388331946072,SH,jerbajada_SH_1000
RMSE,0.004658636078023371,0.004281380145811416,0.005594812944724308,0.006729256794910508,9.361768667009371e-4,SH,jerbajada_SH_1000
nRMSE,0.1612207945052386,0.14816514901063882,0.19361894188553128,0.23287848819596185,0.032398147380292674,SH,jerbajada_SH_1000
corr,0.9118953670904966,0.9252639319446585,0.902737548000712,0.8376842030520272,-0.009157819089784525,SH,jernort_SH_1000
R2,0.8315531605211115,0.8561133437576895,0.814935080570338,0.70171482404291,-0.016618079950773468,SH,jernort_SH_1000
RMSE,0.007725168099506909,0.0071092401969510685,0.009173844748302079,0.011765224263543159,0.0014486766487951698,SH,jernort_SH_1000
nRMSE,0.12214718375053908,0.11240838483749349,0.14505306366618695,0.18602689177430784,0.022905879915647867,SH,jernort_SH_1000
corr,0.6968409257139692,0.7524655295643206,0.3132216438224673,0.6118367451371507,-0.38361928189150185,SH,jersand_SH_1000
R2,0.4855872757499015,0.5662043731825134,0.09810779815884856,0.37434420270002267,-0.38747947759105295,SH,jersand_SH_1000
RMSE,0.0074605866822733844,0.006677951979918518,0.008231024396278935,0.00878485661228892,7.704377140055505e-4,SH,jersand_SH_1000
nRMSE,0.18432124425025675,0.16498547237668065,0.20335567734654966,0.2170386553090456,0.019034433096292908,SH,jersand_SH_1000
corr,0.9543068091513554,0.9591608827686293,0.9639509853586292,0.9536190691144109,0.009644176207273869,GR,kansas_GR_1000
R2,0.9107014859926413,0.9199895990334963,0.9292015021738722,0.9093893289786354,0.01850001618123087,GR,kansas_GR_1000
RMSE,0.010771945133475902,0.01016584806455529,0.008801101482560705,0.01202748710288966,-0.0019708436509151966,GR,kansas_GR_1000
nRMSE,0.09715746347986311,0.09169077634868712,0.07938145667091219,0.10848181312416827,-0.017776006808950917,GR,kansas_GR_1000
corr,0.784970975169336,0.8363104057895916,0.4290373272264401,0.6783100188729083,-0.3559336479428959,GR,kendall_GR_1000
R2,0.6161794318582987,0.6994150948319515,0.18407302815360746,0.4601044817033651,-0.4321064037046912,GR,kendall_GR_1000
RMSE,0.007986281144822409,0.00707389976870443,0.010162093895075741,0.010170621488487568,0.0021758127502533326,GR,kendall_GR_1000
nRMSE,0.15461931985813337,0.13695505469285704,0.19674439428040455,0.19690949373902028,0.042125074422271175,GR,kendall_GR_1000
corr,0.9100386428080455,0.9193039629505848,0.6907770504685279,0.7700351460563973,-0.21926159233951759,SH,kendall_SH_1000
R2,0.8281703314039094,0.84511977629665,0.47717293345399925,0.5929541261620972,-0.35099739794991014,SH,kendall_SH_1000
RMSE,0.010867501079235974,0.010302571317706932,0.018811699812209755,0.017535523474525392,0.007944198732973782,SH,kendall_SH_1000
nRMSE,0.12240727042498688,0.11604412313045995,0.21188760960571462,0.19751325979540094,0.08948033918072774,SH,kendall_SH_1000
corr,0.9797525285034135,0.9858180968703486,0.9616202592092281,0.958081934732523,-0.018132269294185432,DB,lacclair_DB_1000
R2,0.9599150171088322,0.971837320117076,0.9247135229216231,0.9179209936608146,-0.03520149418720908,DB,lacclair_DB_1000
RMSE,0.007836635968500186,0.006563114948545743,0.010747224409721636,0.011723833468575938,0.0029105884412214504,DB,lacclair_DB_1000
nRMSE,0.06755575068209893,0.05657735780302786,0.09264648959911752,0.10106535176893543,0.025090738917018587,DB,lacclair_DB_1000
corr,0.8719371042052326,0.8963200211977591,0.9137778279721586,0.894748355003383,0.041840723766925936,EN,laclaflamme_EN_1000
R2,0.7602743136898068,0.8033895803999513,0.8349899188935158,0.8005746187812599,0.07471560520370901,EN,laclaflamme_EN_1000
RMSE,0.012109837284177399,0.010964269655779435,0.010564477017540461,0.011010044126452704,-0.0015453602666369373,EN,laclaflamme_EN_1000
nRMSE,0.1638989427520423,0.14839441376958332,0.14298347477926077,0.14901394210611893,-0.020915467972781543,EN,laclaflamme_EN_1000
